type,step,pnl
sell_short,4537,
buy_cover,4561,18.602080296477652
sell_short,4563,
buy_cover,4579,21.93041542721039
sell_short,4580,
buy_cover,4586,-26.738334562549426
buy,4590,
sell,4591,3.666536715183611
buy,4596,
sell,4599,-22.553792105141838
buy,4600,
sell,4623,-23.39615746180789
sell_short,4625,
buy_cover,4632,-17.84515328413363
sell_short,4633,
buy_cover,4645,-20.475031107618634
buy,4646,
sell,4661,-15.73677218765988
sell_short,4662,
buy_cover,4663,-0.23174082811419794
sell_short,4664,
buy_cover,4672,-14.421804747898932
buy,4673,
sell,4697,36.655501033676046
buy,4701,
sell,4721,-3.9293677946352545
buy,4722,
sell,4741,16.826518486657733
buy,4742,
sell,4753,-31.672967555226933
sell_short,4755,
buy_cover,4759,-34.49111212043135
buy,4763,
sell,4779,4.613441475410582
buy,4780,
sell,4804,50.41280027940047
buy,4805,
sell,4826,-12.959389891408136
buy,4830,
sell,4854,45.24853684100162
buy,4855,
sell,4874,-7.85015938273682
buy,4875,
sell,4887,-42.61419923865833
sell_short,4913,
buy_cover,4929,-20.871874349537393
sell_short,4930,
buy_cover,4946,-19.451755078263886
buy,4947,
sell,4948,-1.3651478739393497
buy,4963,
sell,4987,103.4467270826899
buy,5001,
sell,5017,172.82236344170815
buy,5025,
sell,5049,16.892669858623776
buy,5050,
sell,5074,302.92664620532014
buy,5096,
sell,5114,-51.05367132899846
buy,5115,
sell,5127,-80.89844298789103
sell_short,5134,
buy_cover,5141,-53.66039268255008
buy,5149,
sell,5173,142.45637903074748
buy,5176,
sell,5198,-94.4028840988667
buy,5210,
sell,5234,108.54729779871741
buy,5249,
sell,5265,2.3584613692055427
buy,5266,
sell,5290,203.24017977646326
buy,5291,
sell,5299,-74.13859225783199
buy,5304,
sell,5328,50.69318230588033
buy,5331,
sell,5341,-39.43711580279523
buy,5344,
sell,5348,-42.997382335857765
sell_short,5375,
buy_cover,5388,-32.91332916954707
sell_short,5389,
buy_cover,5398,-77.06259570491238
buy,5405,
