datetime,close,signal,position,equity
2026-04-14 23:05:00,74053.79,1,0,10000.0
2026-04-14 23:10:00,74094.8,1,0,10000.0
2026-04-14 23:15:00,74146.67,1,0,10000.0
2026-04-14 23:20:00,74109.93,1,0,10000.0
2026-04-14 23:25:00,74107.38,1,0,10000.0
2026-04-14 23:30:00,74149.93,1,0,10000.0
2026-04-14 23:35:00,74154.91,1,0,10000.0
2026-04-14 23:40:00,74136.15,1,0,10000.0
2026-04-14 23:45:00,74206.15,1,0,10000.0
2026-04-14 23:50:00,74058.22,1,0,10000.0
2026-04-14 23:55:00,74131.55,1,0,10000.0
2026-04-15 00:00:00,74544.45,0,0,10000.0
2026-04-15 00:05:00,74614.52,1,0,10000.0
2026-04-15 00:10:00,74542.32,1,0,10000.0
2026-04-15 00:15:00,74400.24,1,0,10000.0
2026-04-15 00:20:00,74576.0,1,0,10000.0
2026-04-15 00:25:00,74584.95,1,0,10000.0
2026-04-15 00:30:00,74510.0,1,0,10000.0
2026-04-15 00:35:00,74540.47,1,0,10000.0
2026-04-15 00:40:00,74554.89,1,0,10000.0
2026-04-15 00:45:00,74450.3,1,0,10000.0
2026-04-15 00:50:00,74440.0,1,0,10000.0
2026-04-15 00:55:00,74568.36,1,0,10000.0
2026-04-15 01:00:00,74638.08,1,0,10000.0
2026-04-15 01:05:00,74713.26,1,0,10000.0
2026-04-15 01:10:00,74742.65,1,0,10000.0
2026-04-15 01:15:00,74705.18,1,0,10000.0
2026-04-15 01:20:00,74594.88,1,0,10000.0
2026-04-15 01:25:00,74677.06,1,0,10000.0
2026-04-15 01:30:00,74634.99,1,0,10000.0
2026-04-15 01:35:00,74566.31,1,0,10000.0
2026-04-15 01:40:00,74634.94,1,0,10000.0
2026-04-15 01:45:00,74645.6,1,0,10000.0
2026-04-15 01:50:00,74618.67,1,0,10000.0
2026-04-15 01:55:00,74613.28,1,0,10000.0
2026-04-15 02:00:00,74642.6,1,0,10000.0
2026-04-15 02:05:00,74549.38,1,0,10000.0
2026-04-15 02:10:00,74543.15,1,0,10000.0
2026-04-15 02:15:00,74528.55,1,0,10000.0
2026-04-15 02:20:00,74459.22,1,0,10000.0
2026-04-15 02:25:00,74348.57,1,0,10000.0
2026-04-15 02:30:00,74206.1,1,0,10000.0
2026-04-15 02:35:00,74198.0,1,0,10000.0
2026-04-15 02:40:00,74276.59,1,0,10000.0
2026-04-15 02:45:00,74213.56,1,0,10000.0
2026-04-15 02:50:00,74291.3,1,0,10000.0
2026-04-15 02:55:00,74322.0,1,0,10000.0
2026-04-15 03:00:00,74254.01,1,0,10000.0
2026-04-15 03:05:00,74245.94,1,0,10000.0
2026-04-15 03:10:00,74226.08,1,0,10000.0
2026-04-15 03:15:00,74218.79,1,0,10000.0
2026-04-15 03:20:00,74305.89,1,0,10000.0
2026-04-15 03:25:00,74299.65,1,0,10000.0
2026-04-15 03:30:00,74300.04,1,0,10000.0
2026-04-15 03:35:00,74240.02,1,0,10000.0
2026-04-15 03:40:00,74233.7,1,0,10000.0
2026-04-15 03:45:00,74271.67,1,0,10000.0
2026-04-15 03:50:00,74283.3,1,0,10000.0
2026-04-15 03:55:00,74345.97,1,0,10000.0
2026-04-15 04:00:00,74418.47,1,0,10000.0
2026-04-15 04:05:00,74366.58,1,0,10000.0
2026-04-15 04:10:00,74344.14,1,0,10000.0
2026-04-15 04:15:00,74338.0,1,0,10000.0
2026-04-15 04:20:00,74330.21,1,0,10000.0
2026-04-15 04:25:00,74318.14,1,0,10000.0
2026-04-15 04:30:00,74297.33,1,0,10000.0
2026-04-15 04:35:00,74322.0,1,0,10000.0
2026-04-15 04:40:00,74332.16,1,0,10000.0
2026-04-15 04:45:00,74343.57,1,0,10000.0
2026-04-15 04:50:00,74345.27,1,0,10000.0
2026-04-15 04:55:00,74340.38,1,0,10000.0
2026-04-15 05:00:00,74345.98,1,0,10000.0
