side,entry_step,exit_step,entry_price,exit_price,pnl,hold_bars
short,11044,11051,2010.71,1994.52,61.291425345567404,7
short,11101,11103,1994.21,2006.18,-51.663451865227216,2
long,11113,11119,1983.02,1987.35,11.074632559093516,6
short,11148,11150,1987.55,1990.31,-14.35711036388966,2
long,11224,11225,1986.9,1988.21,-1.128582869413549,1
short,11226,11229,1989.87,1993.4,-17.41320936842203,3
short,11240,11246,1987.32,1990.37,-15.459915482573706,6
short,11249,11251,1990.77,1989.05,3.7008683057229064,2
long,11280,11284,2005.75,2002.6,-18.88782853433895,4
long,11369,11370,2028.06,2025.19,-17.60847276275581,1
short,11483,11487,1995.2,1998.68,-17.02337522018206,4
short,11574,11575,2005.89,2006.51,-5.615851763898718,1
long,11577,11578,2001.42,2000.18,-11.22368981379077,1
short,11630,11632,2003.82,2005.82,-11.047785767821551,2
short,11650,11652,1985.74,1991.27,-25.127825444847076,2
long,11680,11689,1989.53,2001.15,39.58552186014185,9
long,11784,11788,2018.8,1997.76,-88.58383128108744,4
long,11814,11817,2038.44,2028.98,-42.468151340379336,3
short,11875,11877,2059.74,2061.72,-10.578797558349834,2
short,11969,11970,2076.05,2074.13,4.073492171592989,1
long,11982,11986,2063.55,2065.12,-0.30651503584795137,4
short,11989,11993,2044.99,2046.92,-10.429331727361387,4
long,12035,12044,2038.64,2036.0,-16.219324960676204,9
long,12112,12113,2063.69,2064.09,-4.68513326223092,1
short,12316,12318,2106.72,2107.21,-4.88838038990616,2
long,12454,12455,2128.59,2126.48,-13.819434022778296,1
long,12657,12660,2135.25,2118.25,-67.46300772520226,3
short,12720,12723,2053.36,2049.85,10.006373090272973,3
long,12752,12754,2046.29,2040.1,-29.227942066439027,2
short,12815,12817,2039.32,2046.48,-29.80279745576081,2
short,12878,12881,2060.77,2058.96,3.6309171243965466,3
long,12905,12906,2057.97,2058.41,-4.447397246623041,1
short,13135,13137,2055.73,2053.29,5.971210145366058,2
short,13155,13165,2052.7,2050.22,6.135946015385343,10
long,13187,13188,2058.78,2056.89,-13.037048437206977,1
long,13205,13208,2054.31,2051.79,-15.35246756471679,3
long,13313,13318,2052.96,2054.01,-2.183665627281698,5
short,13449,13450,2059.64,2065.18,-23.374442716216436,1
long,13451,13452,2079.24,2073.34,-27.398787964496478,1
short,13547,13550,2060.19,2058.35,3.7057452730505247,3
short,13582,13585,2038.88,2034.14,14.466296940155189,3
short,13607,13617,2038.28,2041.07,-13.315018156520637,10
long,13694,13695,2060.66,2057.98,-15.766063035132902,1
long,13768,13772,2059.35,2060.01,-3.59357294217898,4
short,13784,13785,2085.79,2084.07,3.1830688923855632,1
short,13823,13824,2133.57,2137.48,-16.734093051472883,1
long,13831,13843,2133.44,2127.22,-27.751757502976943,12
long,13846,13849,2126.86,2125.99,-8.998974496976189,3
short,13860,13864,2131.87,2130.71,1.0732711453256343,4
long,13873,13874,2126.49,2121.53,-23.281303192963605,1
short,13971,13975,2156.94,2157.73,-5.682457813146357,4
short,14094,14095,2117.38,2115.17,4.77091448675219,1
long,14104,14107,2107.06,2101.56,-25.25311403705382,3
short,14125,14127,2108.04,2108.68,-5.197208426940961,2
long,14212,14214,2100.48,2097.32,-16.991586765346256,2
short,14230,14240,2078.32,2086.99,-33.665506403745894,10
long,14296,14297,2098.6,2097.23,-10.637603602975105,1
short,14323,14325,2112.7,2119.97,-28.109751179700652,2
long,14338,14340,2138.15,2137.1,-9.401758526938465,2
long,14405,14413,2233.0,2233.0,-5.819154764370069,8
long,14456,14463,2246.01,2247.98,0.5575837824035261,7
short,14567,14570,2215.7,2219.25,-14.563422074407754,3
long,14642,14643,2193.51,2197.73,8.144688941097229,1
short,14688,14694,2180.61,2183.92,-13.935263275865509,6
long,14740,14744,2177.44,2181.51,7.740485287116826,4
short,15043,15048,2176.89,2183.09,-23.575819688811862,5
long,15082,15092,2210.23,2215.65,11.934616733787152,10
short,15151,15155,2241.81,2242.6,-5.450609734990394,4
long,15165,15177,2241.24,2249.01,19.278395740407177,12
short,15210,15222,2249.65,2241.52,23.32699271207457,12
short,15299,15302,2231.25,2235.56,-16.97304879324838,3
short,15325,15327,2236.14,2235.1,0.4734914988903256,2
